9/13 18:35:29.067  SWING_DAMAGE,0xF1300042EA00E8D1,"Talbuk Stag",0x10a28,0xF14000FACB0004F6,"Penfold",0x1111,101,1,0,0,0,nil,nil,nil
9/13 18:35:29.267  SPELL_CAST_SUCCESS,0x0000000000002684,"Lev",0x511,0xF1300042EA00E8D1,"Talbuk Stag",0x10a28,14325,"Hunter's Mark",0x40
9/13 18:35:29.450  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,34026,"Kill Command",0x1,"You can't do that yet"
9/13 18:35:29.450  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,34120,"Steady Shot",0x1,"Not yet recovered"
9/13 18:35:29.500  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,34026,"Kill Command",0x1,"You can't do that yet"
9/13 18:35:29.500  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,34120,"Steady Shot",0x1,"Not yet recovered"
9/13 18:35:29.585  SPELL_AURA_APPLIED,0x0000000000000000,nil,0x80000000,0xF1300042EA00E8D1,"Talbuk Stag",0x10a28,14325,"Hunter's Mark",0x40,DEBUFF
9/13 18:35:29.767  RANGE_DAMAGE,0x0000000000002684,"Lev",0x511,0xF1300042EA00E8D1,"Talbuk Stag",0x10a28,75,"Auto Shot",0x1,728,1,0,0,0,nil,nil,nil
9/13 18:35:29.767  SPELL_AURA_REMOVED,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,35099,"Rapid Killing",0x1,BUFF
9/13 18:35:29.784  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,34026,"Kill Command",0x1,"You can't do that yet"
9/13 18:35:29.784  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,34120,"Steady Shot",0x1,"Not yet recovered"
9/13 18:35:29.967  SPELL_HEAL,0x0000000000002684,"Lev",0x511,0xF14000FACB0004F6,"Penfold",0x1111,37382,"Health Link",0x2,109,nil
9/13 18:35:30.067  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF1300042EA00E8D1,"Talbuk Stag",0x10a28,266,1,0,0,0,nil,nil,nil
